TEFF,LOGG,O_FE,MG_FE,FE_H
4346.8975,1.8760331,0.084135,0.0757087,-0.041544
6147.21,4.1338267,-0.028326098,-0.07085849,0.088398
4272.0317,1.8978257,0.008356988,-0.031257004,0.29409
4898.272,2.7560074,0.17528297,0.13253298,-0.42112
4692.6973,2.440224,0.029277988,0.014754005,0.10868
5387.1274,4.4545865,0.029709876,0.05267948,0.3228
4037.2637,1.2671907,0.30952296,0.31415296,-0.58763
4790.489,2.6345894,0.21530297,0.14365199,-0.42531
4666.6807,2.4739828,0.03345,0.034376003,0.057426
3998.67,1.3074591,0.094735995,0.082948,-0.23345
5026.9395,2.4797835,-0.05710701,-0.045777,-0.12041
5027.823,3.3243518,0.116299,0.084846005,-0.17281
4023.0261,1.0342817,0.102332026,0.09042841,-0.43428
5316.1436,4.486465,0.103342906,0.07176471,0.11215
5870.138,3.9162002,0.1387929,0.06850502,-0.38634
4037.9685,0.5751205,0.011200011,0.00019401312,-0.46688
4620.7,2.5262332,0.063974,0.0701484,0.028243
3859.434,1.2382159,0.0800628,0.027864002,-0.05409
3945.266,1.2837963,0.281933,0.24480301,-0.13357
5011.316,3.2395687,0.076914,0.089434,-0.14474
3996.7861,1.006211,0.13723394,0.13113296,-0.60958
4465.1514,4.585555,-0.028563112,-0.18058148,-0.39082
4219.938,1.5986843,0.060889006,0.05045201,-0.14678
4779.7764,3.063087,0.034440994,0.090572,0.1314
4439.3076,4.6145277,0.0076682046,-0.0681015,-0.10971
4588.221,2.5005322,0.0598365,0.042298004,0.061922
4344.854,1.7203674,0.12331401,0.10965401,-0.33996
4050.8516,1.0192168,0.09690195,0.10134697,-0.64136
3899.169,0.96787006,0.0692184,0.044625998,-0.29435
4113.779,1.4648302,0.10995999,0.098481,-0.23576
4440.279,2.17336,0.279013,0.273363,-0.25988
4592.8594,2.369582,0.163963,0.149693,-0.20619
4245.483,1.7598054,0.12231399,0.10036099,-0.18707
5730.962,4.2248483,0.0417099,0.04483451,0.092668
6480.1665,4.1102734,0.12082389,-0.050300494,-0.077225
5014.1846,3.4849172,0.190063,0.175333,-0.2858
4648.729,2.796054,0.037091002,0.054195,0.068839
4965.2744,3.348289,0.0127930045,0.06435391,0.078715
4610.7573,2.4818428,0.021460995,0.021922998,0.078155
4747.09,2.4293633,0.134907,0.133814,-0.14427
3588.2437,0.75703824,0.263493,0.227153,-0.7787
5112.0586,2.4444137,0.424343,0.342603,-0.81106
4947.056,2.5204103,-0.064899996,-0.03165999,-0.097525
4879.073,2.59416,-0.034376994,0.022186995,-0.11597
4649.8267,2.394008,0.13314301,0.122105,-0.35655
6014.0186,3.9783237,-0.0344961,-0.033784494,-0.029549
4634.4214,2.4270234,0.205712,0.19883202,-0.032763
4905.9985,2.5708907,0.028421,0.047932,-0.14518
4618.294,2.3817227,0.029401004,0.025342003,0.13327
4753.8735,2.6053686,-0.00054600835,0.014269993,0.20397
4307.0107,1.6612649,0.134345,0.13392901,-0.397
4619.198,2.5096684,0.23769298,0.250163,-0.27397
4580.5723,2.3828092,0.12407199,0.109499,0.10824
4446.1855,2.2529585,0.261473,0.287423,-0.25128
4754.0747,4.5890393,-0.0421251,0.027313508,0.070826
6167.9062,3.7274806,0.3195629,-0.032883495,-0.21765
4714.663,2.7341082,0.059332997,0.070375,-0.11678
4555.83,2.364416,0.032477006,0.04088901,0.23338
4701.199,2.0588868,0.047372997,0.024055004,-0.24831
4549.4355,2.1203675,0.28456298,0.272493,-0.52174
5094.915,2.7123566,-0.133937,-0.035077,-0.10712
4791.627,2.3969595,0.06602201,0.031493008,-0.21974
3466.1099,0.3950031,0.053064406,0.064533025,-0.55348
4731.559,2.428587,0.256383,0.289983,-0.2114
3967.313,1.0460546,0.115659,0.085116,-0.46444
4809.0293,3.1123638,0.0,0.04762101,0.27108
4520.0156,2.1048625,0.14853099,0.154645,-0.35637
4825.474,2.970446,0.048968997,0.050038103,0.0081661
4631.8433,2.565066,0.229443,0.26166302,-0.23886
4955.2217,2.4647226,-0.033221006,0.047892004,-0.34903
4725.7705,2.7145543,0.11990201,0.14669001,-0.16511
3487.1575,0.9399213,0.050376028,-0.013908982,0.36099
5986.936,4.203325,0.122730896,0.001893498,-0.07925
5029.867,3.344311,0.073987,0.074815005,-0.14648
5007.7295,2.4379392,0.154478,0.224013,-0.39923
4909.0547,2.3787951,0.174543,0.13583001,-0.39586
4680.611,2.4789438,0.130664,0.132396,-0.24326
4424.861,1.9660158,0.254453,0.260123,-0.42633
4803.0664,2.3701985,0.054943502,0.07551941,-0.2558
6079.2734,3.6203256,0.2351829,0.042820483,-0.47715
4784.886,2.2933445,0.027819991,0.05101499,-0.24655
3383.8289,0.633746,0.056915,-0.0012760013,0.24716
4500.802,2.1479127,0.251703,0.289093,-0.35739
4320.0664,1.6742299,0.13334101,0.115421,-0.444
3723.2927,0.6889307,0.31691298,0.31838298,-0.70168
6034.214,4.196401,0.1195229,-0.0028394908,-0.13155
4052.7336,1.2405148,0.096774995,0.080709994,-0.26984
3573.1426,4.202168,,,
5924.8545,4.287668,0.05650589,0.07103789,-0.40965
4637.542,2.3988373,0.017564997,0.04049599,0.21043
4244.0596,1.6386218,0.11960301,0.12745598,-0.37756
5028.103,2.9796374,-0.0105310045,-0.026737,0.023738
4938.663,4.569941,-0.035684098,0.020900501,0.025712
4117.3213,1.8843153,0.062089205,0.049929023,0.32158
4615.694,2.3883877,0.345043,0.37533298,-0.46892
4171.615,1.5983586,0.281423,0.305713,-0.37135
4195.878,1.4220498,0.086927,0.079351306,-0.30554
4232.4185,1.8189325,0.089599,0.06897981,-0.017695
5001.5063,2.4634373,0.19051298,0.1478,-0.49024
3455.1824,4.673626,,,
5011.061,2.2249691,0.49505302,0.34094298,-0.90864
5089.188,3.393822,0.086902,0.025847003,-0.052305
4947.4263,2.8408463,-0.00038399547,-0.008378997,0.099617
4897.825,2.5117521,0.05464621,0.093596004,-0.20691
4838.083,3.0176582,0.030782,0.0703921,-0.090175
3756.2178,1.1481724,0.06757599,0.07616341,0.25477
4889.6875,2.5841224,0.021827005,0.02359201,-0.13669
4811.147,2.472121,0.043617994,0.041463986,-0.17149
3865.1309,0.43747103,0.025056005,0.08864659,-0.50446
4106.576,1.1159704,0.14918405,0.14110702,-0.60689
4024.2468,1.1017423,0.11151001,0.100865036,-0.42454
4421.7793,1.9829869,0.06560542,0.017611995,-0.12202
5883.871,4.124454,0.0368269,0.0041965023,0.043155
4059.753,1.4175179,0.177063,0.20444302,-0.14245
4704.811,2.6485236,0.00045300275,0.035855003,0.062685
5149.5537,4.4867926,0.008029103,0.04142651,0.35748
4734.3657,2.4408135,0.028486,0.043020003,-0.021522
4653.2153,2.6432724,0.324393,0.33049297,-0.27938
5874.8047,4.1946983,-0.006308101,-0.0026394948,-0.071743
5748.837,4.271924,0.06516692,-0.021266475,0.26702
4860.262,3.1758068,0.068160996,0.11881,-0.062794
4263.501,1.9989843,0.049626008,0.012263,0.2068
3937.028,1.3700337,0.075652,0.049327005,0.046633
5102.944,3.763515,0.055136994,0.073888496,0.083095
5868.8755,3.7750793,0.13237293,-0.031422466,-0.27134
4530.817,2.337082,0.046989992,0.039122,0.23175
4707.938,2.9494834,0.24970299,0.281143,-0.22677
4193.2383,1.5321794,0.16814299,0.173303,-0.36971
4375.8667,2.3230174,0.107122004,0.116303,0.19487
4995.334,2.9199386,0.029350013,0.10084,-0.36147
5340.879,4.505158,0.042427897,0.005578503,0.1586
5803.624,4.1719294,0.1138829,0.053664908,-0.25094
4582.2017,1.9967811,0.07468499,0.049227,-0.21077
4597.8145,2.4657018,0.039190993,0.054610997,0.17204
3851.3682,0.55177844,0.008051991,-0.05206698,-0.63343
4916.4014,2.3734965,0.37666303,0.32661304,-0.52745
6071.77,4.1901093,0.1398629,-0.0010924935,-0.12794
4848.8677,2.6175504,0.03046897,0.13048299,-0.33918
4826.41,2.4492762,0.04281301,0.044096008,-0.14832
5938.7056,4.1417136,0.21818288,0.047438487,-0.28906
6122.3027,4.331157,-0.002026394,-0.06115149,0.1757
6010.8145,4.264191,0.0380959,-0.0516565,0.072342
4855.043,2.4808276,0.24272299,0.191163,-0.44144
4723.908,2.3710968,0.082011,0.0705967,-0.035664
4815.7217,2.4617765,0.042336002,0.066019595,-0.19692
4919.2803,2.5176318,0.04187101,0.056410998,-0.22887
3829.204,0.81404895,0.12393603,0.111830026,-0.46878
4304.6987,1.5972579,0.264463,0.28334302,-0.4427
4732.209,2.4405992,-0.004843004,-0.0067730024,0.038005
4690.7334,4.558371,0.0016252026,-0.051881492,-0.10783
4229.7627,1.5460968,0.31856304,0.34846303,-0.43935
4165.06,1.6675453,0.128027,0.14430402,0.029902
4916.7695,2.398597,0.419093,0.35192302,-0.62817
5229.8975,4.5390015,0.009417802,0.056350704,-0.10209
4032.6123,0.87714744,0.113670945,0.119527966,-0.5994
4953.1216,2.409323,0.09431398,0.17486,-0.45654
6129.707,4.3316045,0.080957904,-0.047591493,0.13599
4086.1128,1.525634,0.100274,0.08934,-0.077123
3328.7847,0.02092503,0.07382798,0.038836002,-0.27043
6334.6074,4.329049,0.115924895,-0.078589484,-0.051695
4375.453,1.1624368,0.36947298,0.29722297,-1.509
5077.6924,3.4024422,0.020344999,0.046117,-0.063
4739.0947,2.478749,0.399623,0.34353298,-0.62574
4701.396,4.5920877,0.0224659,0.030374505,-0.022923
4371.1997,2.0292063,0.13940202,0.12653202,-0.14301
4741.188,2.4038289,0.271703,0.260493,-0.28483
4728.843,2.5113776,0.386653,0.365303,-0.58664
4528.4844,2.2326255,0.262063,0.320173,-0.39685
4961.208,3.4299433,0.30356297,0.34796298,-0.49264
4130.508,1.4131789,0.323133,0.33278298,-0.562
5672.839,4.175225,0.06456488,0.03578648,0.27987
4695.107,2.4510746,0.11961101,0.11028701,-0.23247
4732.2754,2.4944098,0.15168598,0.154941,-0.3392
4819.5996,2.4725993,0.234483,0.20379302,-0.32874
4603.131,2.2241917,0.299743,0.315393,-0.24395
4879.118,2.4136162,0.029873013,0.06231591,-0.26385
4894.601,2.5095973,0.07896201,0.11405802,-0.32431
4776.204,2.317089,0.006236002,0.0080740005,-0.19624
4854.6343,2.5264418,0.060798615,0.07307631,-0.32328
4842.4487,2.9434063,0.016600996,0.050315,-0.03312
3533.5583,0.562656,0.305953,0.290113,-0.69114
4264.4736,1.9227519,0.07209599,0.055897903,0.026117
4279.961,1.6271544,0.075598985,0.074664384,-0.27075
4443.5654,0.77824575,0.015322924,-0.06903708,-1.3693
5624.4346,3.9979792,0.0256809,-0.0122265,0.091532
5647.191,4.4785876,0.1013729,0.021783503,-0.022701
4932.0938,2.5493965,-0.024411023,0.08043659,-0.34379
4806.9795,2.4670115,0.0613875,0.056793004,-0.12307
4711.0693,2.2929473,0.18105298,0.11329499,-0.46289
5926.3306,4.0005407,0.086212896,-0.015019497,-0.027896
5406.624,3.827564,0.092799,0.017196007,0.074777
4933.607,2.4474304,0.45064303,0.33772302,-0.69273
3661.241,0.5245672,0.19801599,0.201078,-0.26951
3934.2305,0.9837577,0.09393498,0.081833094,-0.35844
4787.169,2.6618638,-0.009691998,-0.017547995,0.070768
4624.387,1.2279372,0.15998912,0.08705008,-1.6208
6517.8115,4.0921392,0.0709359,-0.068877496,-0.049956
4056.7683,1.3063762,0.34675303,0.341953,-0.50484
5419.9756,3.9648468,0.0593282,0.16890502,-0.052897
4876.871,2.604594,-0.0035563037,0.011597704,0.0021965997
4786.097,2.4118679,0.29956302,0.30094302,-0.31209
4342.261,1.7882738,0.268313,0.29382297,-0.46973
5957.4985,4.3328514,0.1339729,-0.011796504,-0.25025
4098.2114,1.4933326,0.057557702,0.020887002,-0.053206
4372.7705,1.5527201,0.17600304,0.17548305,-0.61013
4159.875,1.3100014,0.09987199,0.11149299,-0.44915
4814.3633,2.569794,0.06157729,0.0761216,-0.26149
6366.585,4.2578163,0.0857159,-0.05684851,-0.086091
4534.2793,2.5839295,0.13983399,0.183653,0.10038
4592.2695,2.4908617,0.124516994,0.112619,-0.15896
6359.8994,4.348566,0.0066574067,-0.091791496,0.14261
